"""","生産者価格表示の産出額(1)(百万円)","中間投入(2)(百万円)","生産者価格表示の県内総生産(3)=(1)-(2)(百万円)","固定資本減耗(4)(百万円)","生産者価格表示の県内純生産(5)=(3)-(4)(百万円)"
"１．産    業","6538677.0","3456800.0","3081878.0","536263.0","2545615.0"
"","","","","",""
"  (1) 農林水産業","126136.0","53148.0","72988.0","24714.0","48274.0"
"      ①  農    業","107163.0","43474.0","63689.0","22811.0","40878.0"
"      ②  林    業","3835.0","1943.0","1892.0","609.0","1283.0"
"      ③  水 産 業","15138.0","7731.0","7407.0","1294.0","6113.0"
"  (2) 鉱      業","3633.0","2085.0","1548.0","639.0","909.0"
"","","","","",""
"  (3) 製  造  業","2868640.0","1924751.0","943890.0","92865.0","851025.0"
"      ①  食  料  品","204001.0","139565.0","64436.0","5341.0","59095.0"
"      ②  繊      維","52718.0","32427.0","20291.0","2113.0","18178.0"
"      ③  ﾊﾟﾙﾌﾟ･紙","30671.0","24748.0","5923.0","1150.0","4773.0"
"      ④  化      学","317847.0","182811.0","135036.0","20033.0","115003.0"
"      ⑤  石油･石炭製品","815987.0","619960.0","196027.0","10262.0","185765.0"
"      ⑥  窯業･土石製品","47736.0","25926.0","21810.0","1216.0","20594.0"
"      ⑦  鉄      鋼","778064.0","576291.0","201773.0","35958.0","165815.0"
"      ⑧  非 鉄 金 属","20144.0","13052.0","7092.0","357.0","6735.0"
"      ⑨  金 属 製 品","82353.0","44404.0","37949.0","2278.0","35671.0"
"      ⑩  一 般 機 械","300135.0","139917.0","160218.0","5353.0","154865.0"
"      ⑪  電 気 機 械","29132.0","17435.0","11697.0","1737.0","9960.0"
"      ⑫  輸 送 機 械","11877.0","4965.0","6912.0","428.0","6484.0"
"      ⑬  精 密 機 械","10902.0","4544.0","6358.0","1209.0","5149.0"
"      ⑭  その他の製造業","167073.0","98705.0","68368.0","5430.0","62938.0"
"","","","","",""
"  (4) 建  設  業","543961.0","296147.0","247814.0","32993.0","214821.0"
"  (5) 電気･ｶﾞｽ･水道業","332482.0","262445.0","70038.0","30490.0","39548.0"
"  (6) 卸売･小売業","523620.0","172269.0","351351.0","30243.0","321108.0"
"","","","","",""
"  (7) 金融･保険業","213950.0","75240.0","138709.0","22681.0","116028.0"
"  (8) 不 動 産 業","521356.0","83879.0","437477.0","151061.0","286416.0"
"  (9) 運  輸  業","263056.0","125571.0","137485.0","31972.0","105513.0"
" (10) 情報通信業","154602.0","68572.0","86030.0","16984.0","69046.0"
" (11) サ－ビス業","987241.0","392692.0","594549.0","101621.0","492928.0"
"","","","","",""
"２．政府ｻ-ﾋﾞｽ生産者","468713.0","90360.0","378353.0","114249.0","264104.0"
"  (1) 電気･ｶﾞｽ･水道業","28016.0","13809.0","14207.0","12041.0","2166.0"
"  (2) サ－ビス業","114116.0","17280.0","96836.0","3588.0","93248.0"
"  (3) 公      務","326580.0","59270.0","267310.0","98620.0","168690.0"
"３．対家計民間非営利","","","","",""
"      サ－ビス生産者","131853.0","40284.0","91569.0","5721.0","85848.0"
"  (1) サ－ビス業","131853.0","40284.0","91569.0","5721.0","85848.0"
"","","","","",""
"         小    計","7139243.0","3587444.0","3551800.0","656233.0","2895567.0"
"","","","","",""
"　  輸入品に課される税・関税","42970.0","0.0","42970.0","0.0","42970.0"
"（控除）総資本形成に係る消費税","22075.0","0.0","22075.0","0.0","22075.0"
"","","","","",""
"         合     計","7160138.0","3587444.0","3572695.0","656233.0","2916462.0"
